#q[1/A]     |F(q)|[e/A^2]
     0.06722350            0.9408138
     0.06823970            0.9802428
     0.06925590             1.019736
     0.07027210             1.059275
     0.07128830             1.098842
     0.07230450             1.138412
     0.07332070             1.177969
     0.07433700             1.217494
     0.07535320             1.256971
     0.07636940             1.296374
     0.07738560             1.335687
     0.07840190             1.374893
     0.07941820             1.413972
     0.08043440             1.452902
     0.08145060             1.491667
     0.08246680             1.530250
     0.08348300             1.568631
     0.08449920             1.606789
     0.08551540             1.644708
     0.08653180             1.682374
     0.08754800             1.719761
     0.08856420             1.756856
     0.08958030             1.793640
     0.09059670             1.830100
     0.09161290             1.866212
     0.09262910             1.901962
     0.09364530             1.937334
     0.09466150             1.972312
     0.09567770             2.006876
     0.09669390             2.041012
     0.09771020             2.074707
     0.09872650             2.107943
     0.09974270             2.140702
      0.1007590             2.172976
      0.1017750             2.204735
      0.1027910             2.235976
      0.1038080             2.266713
      0.1048240             2.296873
      0.1058400             2.326473
      0.1068560             2.355499
      0.1078725             2.383952
      0.1088890             2.411805
      0.1099050             2.439032
      0.1109210             2.465635
      0.1119370             2.491603
      0.1129540             2.516948
      0.1139700             2.541611
      0.1149860             2.565605
      0.1160020             2.588919
      0.1170185             2.611557
      0.1180350             2.633495
      0.1190510             2.654715
      0.1200670             2.675218
      0.1210830             2.694996
      0.1221000             2.714061
      0.1231160             2.732366
      0.1241320             2.749923
      0.1251480             2.766726
      0.1261645             2.782775
      0.1271810             2.798056
      0.1281970             2.812557
      0.1292130             2.826280
      0.1302295             2.839226
      0.1312460             2.851383
      0.1322620             2.862743
      0.1332780             2.873308
      0.1342940             2.883075
      0.1353110             2.892048
      0.1363270             2.900208
      0.1373430             2.907563
      0.1383590             2.914110
      0.1393755             2.919851
      0.1403920             2.924782
      0.1414080             2.928900
      0.1424240             2.932209
      0.1434400             2.934708
      0.1444570             2.936399
      0.1454730             2.937280
      0.1464890             2.937356
      0.1475050             2.936628
      0.1485215             2.935097
      0.1495380             2.932767
      0.1505540             2.929643
      0.1515700             2.925726
      0.1525860             2.921021
      0.1536030             2.915526
      0.1546190             2.909258
      0.1556350             2.902216
      0.1566510             2.894404
      0.1576680             2.885822
      0.1586840             2.876491
      0.1597000             2.866410
      0.1607160             2.855586
      0.1617325             2.844019
      0.1627490             2.831724
      0.1637650             2.818714
